restaurante,categoria,pedidos
480,CAT_A,129
481,CAT_A,663
482,CAT_B,50
483,CAT_B,228
484,CAT_B,524
485,CAT_B,196
486,CAT_B,283
487,CAT_B,49
488,CAT_B,167
489,CAT_A,163
490,CAT_A,7
491,CAT_B,158
492,CAT_B,37
493,CAT_A,140
494,CAT_B,1945
495,CAT_B,3549
496,CAT_A,2486
497,CAT_B,1224
498,CAT_B,646
499,CAT_A,592
500,CAT_A,2674
501,CAT_A,5063
502,CAT_B,420
503,CAT_A,851
504,CAT_A,72
505,CAT_A,608
506,CAT_B,567
507,CAT_B,1705
508,CAT_A,1273
509,CAT_A,514
510,CAT_A,12465
511,CAT_B,1220
512,CAT_B,1718
513,CAT_B,1576
514,CAT_A,1810
515,CAT_B,30
516,CAT_A,222
517,CAT_A,138
518,CAT_A,45
519,CAT_A,532
520,CAT_A,403
521,CAT_A,475
522,CAT_B,140
523,CAT_A,111
524,CAT_A,326
525,CAT_B,435
526,CAT_B,1386
527,CAT_B,501
528,CAT_A,1259
529,CAT_A,103
530,CAT_A,17
531,CAT_A,82
532,CAT_A,18
533,CAT_B,1
534,CAT_A,933
535,CAT_B,584
536,CAT_A,1813
537,CAT_B,1720
538,CAT_B,171
539,CAT_A,3239
540,CAT_B,493
541,CAT_B,807
542,CAT_A,546
543,CAT_A,243
544,CAT_B,128
545,CAT_B,1040
546,CAT_B,720
547,CAT_B,414
548,CAT_B,320
549,CAT_A,504
550,CAT_B,57
551,CAT_B,145
552,CAT_A,542
553,CAT_A,701
554,CAT_B,24
555,CAT_A,23
556,CAT_A,115
557,CAT_A,850
558,CAT_B,379
559,CAT_B,66
560,CAT_B,1172
561,CAT_B,716
562,CAT_B,799
563,CAT_A,303
564,CAT_A,251
565,CAT_B,85
566,CAT_B,778
567,CAT_B,160
568,CAT_B,1
569,CAT_B,854
570,CAT_A,1977
571,CAT_A,2990
572,CAT_B,783
573,CAT_B,47
574,CAT_A,836
575,CAT_A,392
576,CAT_A,371
577,CAT_B,402
578,CAT_B,1708
579,CAT_A,3080
580,CAT_B,52
581,CAT_B,484
582,CAT_B,2500
583,CAT_B,2748
584,CAT_A,524
585,CAT_A,437
586,CAT_B,329
587,CAT_B,240
588,CAT_A,6283
589,CAT_A,53
590,CAT_B,23
591,CAT_A,86
592,CAT_B,293
593,CAT_B,31
594,CAT_B,225
595,CAT_A,262
596,CAT_B,166
597,CAT_A,420
598,CAT_A,53
599,CAT_A,45
600,CAT_A,34
601,CAT_B,123
602,CAT_B,1300
603,CAT_A,604
604,CAT_B,32
605,CAT_A,1460
606,CAT_B,1040
607,CAT_B,195
608,CAT_A,1788
609,CAT_A,829
610,CAT_A,1280
611,CAT_A,143
612,CAT_A,122
613,CAT_B,40
614,CAT_A,4784
