nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
coronel ezequiel,Rio Grande do Norte,Não,0.0
governador dix-sept rosado,Rio Grande do Norte,Não,0.0
guamaré,Rio Grande do Norte,Não,0.0
jundiá,Rio Grande do Norte,Não,0.0
japi,Rio Grande do Norte,Não,0.0
jucurutu,Rio Grande do Norte,Não,0.0
josé da penha,Rio Grande do Norte,Não,0.0
joão dias,Rio Grande do Norte,Não,0.0
joão câmara,Rio Grande do Norte,Não,0.0
jardim do seridó,Rio Grande do Norte,Não,0.0
jardim de piranhas,Rio Grande do Norte,Não,0.0
jardim de angicos,Rio Grande do Norte,Não,0.0
januário cicco,Rio Grande do Norte,Não,0.0
ielmo marinho,Rio Grande do Norte,Não,0.0
janduís,Rio Grande do Norte,Não,0.0
jandaíra,Rio Grande do Norte,Não,0.0
jaçanã,Rio Grande do Norte,Não,0.0
itaú,Rio Grande do Norte,Não,0.0
itajá,Rio Grande do Norte,Não,0.0
ipueira,Rio Grande do Norte,Não,0.0
ipanguaçu,Rio Grande do Norte,Não,0.0
são pedro da aldeia,Rio de Janeiro,Não,0.0
acrelândia,Acre,Não,0.0
são josé de ubá,Rio de Janeiro,Não,0.0
socorro do piauí,Piauí,Não,0.0
são joão da canabrava,Piauí,Não,0.0
são gonçalo do piauí,Piauí,Não,0.0
são gonçalo do gurguéia,Piauí,Não,0.0
são francisco do piauí,Piauí,Não,0.0
são francisco de assis do piauí,Piauí,Não,0.0
são félix do piauí,Piauí,Não,0.0
são braz do piauí,Piauí,Não,0.0
santo inácio do piauí,Piauí,Não,0.0
santo antônio dos milagres,Piauí,Não,0.0
santo antônio de lisboa,Piauí,Não,0.0
santana do piauí,Piauí,Não,0.0
santa rosa do piauí,Piauí,Não,0.0
santa luz,Piauí,Não,0.0
santa filomena,Piauí,Não,0.0
santa cruz dos milagres,Piauí,Não,0.0
santa cruz do piauí,Piauí,Não,0.0
rio grande do piauí,Piauí,Não,0.0
são joão da fronteira,Piauí,Não,0.0
são joão da serra,Piauí,Não,0.0
são joão da varjota,Piauí,Não,0.0
são miguel do fidalgo,Piauí,Não,0.0
simões,Piauí,Não,0.0
sigefredo pacheco,Piauí,Não,0.0
sebastião leal,Piauí,Não,0.0
sebastião barros,Piauí,Não,0.0
são raimundo nonato,Piauí,Não,0.0
são pedro do piauí,Piauí,Não,0.0
são miguel do tapuio,Piauí,Não,0.0
são miguel da baixa grande,Piauí,Não,0.0
