nomeLocalidade;estado;Cidade tem Aluno;Probabilidade;População residente;Densidade demográfica;Porcentagem de Jovens;Porcentagem de Ativos;Porcentagem de Idosos;Taxa de Urbanização;Taxa de Saneamento Básico;Ativos com Baixo Nível Educacional;Ativos com Médio Nível Educacional;Ativos com Alto Nível Educacional;Percentual de estrangeiros ao total de Trabalhadores;PIB Municipal;Estudantes Ensino primário;Estudantes Ensino secundário;Estudantes Ensino superior;Óbitos até 1 ano de idade por milhares de habitantes;Óbitos por milhares de habitantes;Nascidos por milhares de habitantes;Hospitais por milhares de habitantes;Médicos por milhares de habitantes;% de pobres;IDH;Percentual de trabalhadores especializados;Valores de Importação por 10,000 habitantes;Valores de Exportação por 10,000 habitantes;Número de hotéis por 10,000 habitantes;Percentual de empresas do setor primário em relação ao total;Percentual de empresas do setor secundário em relação ao total;Percentual de empresas do setor terciário em relação ao total;Percentual de trabalhadores do setor primário em relação ao total;Percentual de trabalhadores do setor secundário em relação ao total;Percentual de trabalhadores do setor terciário em relação ao total;Média Salarial;Produtividade;Taxa de desemprego dos jovens;Taxa de desemprego;Número de trabalhadores(Comerciais, hotéis e restaurantes) por 1,000 habitantes;Número de ativos culturais e de lazer por 10,000 habitantes
santos;São Paulo;Sim;0,99703753;0,10200579;1,505583;0,36169815;0,416311;0,00092307106;-0,3061651;-0,4197154;0,41098347;0,5954797;0,60517186;0,379677;0,7991929;0,13609302;0,38392228;1,5583878;-0,263648;-0,5474335;0,7211098;1,0927969;0,20052987;0,07602293;-0,5710391;1,048217;-0,08622067;0,043465007;0,08430545;-0,5878624;-0,16492775;-0,30495963;-0,6175901;0,023440123;-0,3095786;0,43746224;0,14896668;0,037212856;0,10353809;-0,27532792;-0,2894645
assis;São Paulo;Sim;0,9966421;-0,18102284;0,732885;0,3943343;0,4252269;-0,09209128;0,24331072;-0,32973707;0,62412935;0,3525859;0,5282194;0,80262685;1,4895498;-0,058527306;-0,041892238;1,2778412;-0,49499935;-0,6329077;0,7542313;1,113324;-0,078216136;0,0014818199;0,4550878;1,0370064;-0,17789178;0,10184658;-0,22932723;-0,38595667;-0,10902279;-0,35381427;-0,15144151;0,017813604;-0,36584872;-0,2254659;0,102621555;0,046219345;-0,114188336;-0,24820891;0,17309438
osasco;São Paulo;Sim;0,9964965;0,71840996;2,0005426;0,1734042;0,44467905;0,108620696;-0,48846996;0,34677634;0,16881111;0,4834553;0,053539366;0,17371042;0,8085911;0,35104573;0,42553294;1,5394477;0,028395202;0,11927733;0,6019355;-1,5103891;0,06384422;0,14913529;-0,39507753;1,092475;-0,06674252;-0,016628481;0,13763763;-0,5655425;0,0043551503;-0,4352045;-0,7752994;0,011482592;-0,35650733;0,9264366;0,059054878;0,071210444;0,1200724;-0,29353508;0,08177217
americana;São Paulo;Sim;0,99524313;0,0065100053;1,489701;0,5453413;0,5226458;0,09894354;-0,13494626;-0,681218;0,24373645;0,50430584;0,28512317;0,6873158;0,26594955;-0,043098412;0,40501803;1,1061726;-0,14775755;-0,06603341;0,6666387;1,494508;0,23198926;0,13541138;1,1624885;-0,7249307;-0,5296695;-0,24499464;0,06160821;-0,92051226;0,0064447597;0,19186029;-0,8502552;-0,057585955;-0,09323043;0,52125734;0,16043414;0,044903066;-0,012519357;-0,27344808;-0,004911595
petrolina;Pernambuco;Sim;0,9947779;0,13971652;-1,7689273;-0,7546546;-0,7261433;-0,08207368;0,1231986;0,33179837;0,14377287;0,8504213;0,43111962;-0,3395886;1,6032144;0,3576933;0,6084204;1,3389839;-0,4845327;0,30139524;0,30298322;1,0603281;0,03252929;-0,16718388;-0,45972264;-0,3104842;0,55518323;0,013644936;0,08984712;0,8202581;-0,06708466;0,5703982;1,0845066;-0,034747664;0,20816961;-0,23723592;-0,16543585;0,10313841;0,08275425;0,33781615;0,06594003
rio de janeiro;Rio de Janeiro;Sim;0,99433976;0,97447187;1,926343;0,4098536;0,3822272;-0,012250941;-0,5513542;-0,27103963;0,51077694;0,35353807;0,6118698;0,3001603;0,9825761;0,31679034;0,4616649;1,8850623;-0,56429106;-0,57329077;-0,57412684;0,7814453;0,124796376;0,061485156;-0,48257735;0,7563776;-0,34710032;-0,23424941;0,0870177;-0,6672818;-0,07992749;-0,34960377;-0,6630954;0,015158421;-0,3553466;0,90909725;0,14324102;0,0682232;0,075367175;-0,23044705;-0,30314824
barretos;São Paulo;Sim;0,9924165;0,08044753;-0,84675723;0,22143552;0,22237694;-0,1628642;0,22216678;-0,34349692;0,24747346;0,5684649;0,08102715;0,56688374;1,9039665;0,0020197365;0,24839748;1,405396;-0,27349424;-0,12371399;-0,53135145;1,1842505;0,04782078;0,085769944;0,8950674;-0,22594371;-0,56217057;-0,24660355;-0,18564703;0,53252757;-0,017257486;0,4821665;0,70531315;-0,052660756;-0,06768687;-0,1456054;0,09230056;0,08057182;-0,055128038;-0,23199901;-0,21950401
campo grande;Mato Grosso do Sul;Sim;0,9915565;0,7001636;-0,99441516;-0,2354334;-0,7466961;0,18908313;-0,0007125796;0,12395238;0,37660637;0,52751553;0,6742886;-0,2981464;1,3478291;0,31217375;0,5874782;1,9100921;-0,18631941;-0,12636174;0,48335618;1,4033035;0,13281104;0,1116917;-0,51133424;0,79836994;-0,1402826;0,08454692;0,09228094;0,33863795;-0,022452187;-0,58094364;-0,008976638;-0,0378033;-0,23126462;-0,36099643;-0,09115896;0,005384032;-0,089218885;-0,21143316;0,15007451
toledo;Paraná;Sim;0,98933077;-0,01600694;-0,5847763;0,10587476;-0,3576479;0,2178439;0,16996539;0,41066256;0,061102327;-0,2438391;0,11150374;-0,13643607;1,8297789;-0,023018625;0,06384463;1,2670919;-0,10659817;0,2282318;-0,18300433;1,0828658;0,0053745853;0,07427321;-0,19787905;-0,28043625;0,5927447;0,16941676;0,12014043;0,6899331;0,051273536;0,47515696;0,21480754;0,15360953;0,0072303503;-0,35571373;-0,09865963;0,037762918;-0,063601136;-0,40983358;0,15642123
londrina;Paraná;Sim;0,9891418;0,19754641;0,75145817;0,15721437;0,34635273;-0,09159454;0,19538437;0,50627977;0,3552814;0,3093967;0,55904657;0,33849046;1,0812843;0,06092676;0,37121108;1,519921;-0,5458957;-0,6802646;0,080598556;1,0287908;-0,20151182;-0,08676017;-0,52713096;0,668888;0,19127703;-0,37789986;0,08179116;0,10181185;0,09810798;0,49560463;0,0072603757;-0,015269654;-0,4723154;-0,4400993;0,014168946;0,019946026;-0,1720982;-0,31214792;-0,39334238
joinville;Santa Catarina;Sim;0,98765045;0,27782562;1,0294755;0,14062019;0,39771202;0,13559692;0,30342865;0,07830402;0,28231376;0,22257139;0,44468915;-0,1677315;0,8655327;0,28630683;0,40885675;1,0407243;-0,19767578;0,22052519;0,55484605;-1,6739328;-0,2118142;0,1399766;0,86364514;0,4896978;-0,14175002;0,10821898;0,096437246;-0,96076775;0,013712302;0,32347628;-0,866549;-0,16666576;-0,024333026;0,7047449;0,2236912;0,003220975;-0,018960595;-0,3001892;0,16571932
itabira;Minas Gerais;Sim;0,9845061;0,11139953;-0,5220746;0,12909955;0,15612125;0,027961863;0,18156287;-0,02005064;0,1015905;0,5473438;0,42100346;0,49398932;0,96060413;-0,021532377;0,18679908;0,72649604;-0,66315347;0,24510701;-0,39523906;-0,69952625;-0,017634116;-0,17015482;0,37489152;-0,6223547;0,568434;0,22072257;-0,2920986;0,5734425;0,061432224;0,36371148;0,17621511;0,03488987;0,4769418;0,5638334;0,13540174;0,086327665;0,13580638;0,038436823;0,18573487
são carlos;São Paulo;Sim;0,980037;-0,14478219;0,45444256;0,394377;0,4436308;-0,026744729;0,25186387;-0,48596555;0,43552244;0,13594092;0,51600546;0,72737867;0,08766703;-0,09869122;0,26920974;1,1315868;-0,5191834;-0,038405307;-0,46521276;0,9979432;-0,058316126;0,11497622;-0,22543561;0,8587906;-0,4907096;-0,31120896;0,08771316;0,5111841;-0,016918201;-0,59894025;0,5584349;-0,048708856;-0,3181162;0,41375172;0,16088343;0,07578491;0,02621537;-0,32814366;0,12568535
pinheiral;Rio de Janeiro;Sim;0,96484137;0,15756203;2,0666716;0,19766359;0,82269496;0,3062094;0,17935184;-0,15084581;0,12861364;0,54223007;0,75597507;-0,27085182;0,06771041;-0,16131848;-0,24248128;-1,2070241;-0,41052687;0,73436457;-0,2353864;-0,24496375;0,05880845;-0,15207395;-0,19968958;-0,41423368;-0,64578617;-0,3618186;0,097037494;0,41356385;0,18126713;0,5227013;0,64068234;-0,004862412;0,611015;-0,3558513;-0,2914995;0,09636231;0,07490226;0,635691;0,08002766
