nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
salvador,Bahia,Não,0.990745501285347
maringá,Paraná,Não,0.990745501285347
madre de deus,Bahia,Não,0.990745501285347
santa maria,Rio Grande do Sul,Não,0.990745501285347
santo andré,São Paulo,Sim,0.990745501285347
cornélio procópio,Paraná,Não,0.9607843137254902
são josé do rio preto,São Paulo,Não,0.9607843137254902
rio das ostras,Rio de Janeiro,Não,0.9607843137254902
lorena,São Paulo,Não,0.9607843137254902
lins,São Paulo,Não,0.9607843137254902
fortaleza,Ceará,Não,0.9607843137254902
caçapava,São Paulo,Não,0.9607843137254902
cachoeira paulista,São Paulo,Não,0.9607843137254902
jundiaí,São Paulo,Não,0.9607843137254902
barretos,São Paulo,Sim,0.9607843137254902
volta redonda,Rio de Janeiro,Não,0.9607843137254902
resende,Rio de Janeiro,Não,0.9607843137254902
jaguariúna,São Paulo,Não,0.9607843137254902
pirassununga,São Paulo,Não,0.9607843137254902
arraial do cabo,Rio de Janeiro,Não,0.9607843137254902
jacareí,São Paulo,Não,0.9607843137254902
timóteo,Minas Gerais,Não,0.9607843137254902
joinville,Santa Catarina,Sim,0.9607843137254902
pindamonhangaba,São Paulo,Não,0.9607843137254902
uberlândia,Minas Gerais,Sim,0.9607843137254902
passo fundo,Rio Grande do Sul,Não,0.9607843137254902
adamantina,São Paulo,Não,0.9607843137254902
americana,São Paulo,Sim,0.9607843137254902
rio claro,São Paulo,Não,0.9607843137254902
são vicente,São Paulo,Não,0.9607843137254902
bauru,São Paulo,Não,0.9607843137254902
montes claros,Minas Gerais,Não,0.9607843137254902
aparecida,São Paulo,Não,0.9607843137254902
barra do garças,Mato Grosso,Não,0.9607843137254902
ribeirão pires,São Paulo,Não,0.9607843137254902
nova lima,Minas Gerais,Não,0.9607843137254902
cruzeiro,São Paulo,Não,0.9607843137254902
juiz de fora,Minas Gerais,Não,0.9607843137254902
botucatu,São Paulo,Não,0.9607843137254902
londrina,Paraná,Sim,0.9607843137254902
valinhos,São Paulo,Não,0.9607843137254902
cotia,São Paulo,Não,0.9607843137254902
itajubá,Minas Gerais,Não,0.9607843137254902
vinhedo,São Paulo,Não,0.9607843137254902
cruzália,São Paulo,Não,0.9607843137254902
alumínio,São Paulo,Não,0.9607843137254902
sorocaba,São Paulo,Não,0.9607843137254902
mogi das cruzes,São Paulo,Não,0.9607843137254902
olinda,Pernambuco,Não,0.9607843137254902
guaratinguetá,São Paulo,Não,0.9607843137254902
rio branco,Acre,Não,0.9607843137254902
mesquita,Rio de Janeiro,Não,0.9607843137254902
paulista,Pernambuco,Não,0.9607843137254902
macaé,Rio de Janeiro,Não,0.9607843137254902
indaiatuba,São Paulo,Não,0.9607843137254902
cachoeirinha,Rio Grande do Sul,Não,0.9607843137254902
mariana,Minas Gerais,Não,0.8415199258572753
araguari,Minas Gerais,Não,0.8415199258572753
são simão,São Paulo,Não,0.8415199258572753
são borja,Rio Grande do Sul,Não,0.8415199258572753
montenegro,Rio Grande do Sul,Não,0.8415199258572753
arujá,São Paulo,Não,0.8415199258572753
teixeira de freitas,Bahia,Não,0.8415199258572753
três rios,Rio de Janeiro,Não,0.8415199258572753
eunápolis,Bahia,Não,0.8415199258572753
auriflama,São Paulo,Não,0.8415199258572753
são sebastião,São Paulo,Não,0.8415199258572753
feira de santana,Bahia,Não,0.8415199258572753
cubatão,São Paulo,Não,0.8415199258572753
valença,Rio de Janeiro,Não,0.8415199258572753
diadema,São Paulo,Não,0.8415199258572753
murutinga do sul,São Paulo,Não,0.8415199258572753
porto nacional,Tocantins,Não,0.8415199258572753
carazinho,Rio Grande do Sul,Não,0.8415199258572753
carpina,Pernambuco,Não,0.8415199258572753
cosmópolis,São Paulo,Não,0.8415199258572753
lagoa santa,Minas Gerais,Não,0.8415199258572753
ilhéus,Bahia,Não,0.8415199258572753
barra bonita,São Paulo,Não,0.8415199258572753
bicas,Minas Gerais,Não,0.8415199258572753
não-me-toque,Rio Grande do Sul,Não,0.8415199258572753
lavras,Minas Gerais,Não,0.8415199258572753
canoas,Rio Grande do Sul,Não,0.8415199258572753
cravinhos,São Paulo,Não,0.8415199258572753
assaí,Paraná,Não,0.8415199258572753
guararapes,São Paulo,Não,0.8415199258572753
arcos,Minas Gerais,Não,0.8415199258572753
araxá,Minas Gerais,Não,0.8415199258572753
neves paulista,São Paulo,Não,0.8415199258572753
vassouras,Rio de Janeiro,Não,0.8415199258572753
são joaquim da barra,São Paulo,Não,0.8415199258572753
divinópolis,Minas Gerais,Não,0.8415199258572753
almeirim,Pará,Não,0.8415199258572753
concórdia,Santa Catarina,Não,0.8415199258572753
natividade,Rio de Janeiro,Não,0.8415199258572753
santo anastácio,São Paulo,Não,0.8415199258572753
aracruz,Espírito Santo,Não,0.8415199258572753
coronel fabriciano,Minas Gerais,Não,0.8415199258572753
indiaporã,São Paulo,Não,0.8415199258572753
corumbá,Mato Grosso do Sul,Não,0.8415199258572753
tremembé,São Paulo,Não,0.8415199258572753
