nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
bagé,Rio Grande do Sul,Não,0.0028303445
aracruz,Espírito Santo,Não,0.0027969475
congonhas,Minas Gerais,Não,0.0027517683
cravinhos,São Paulo,Não,0.0026823988
várzea grande,Mato Grosso,Não,0.0026745726
rio das pedras,São Paulo,Não,0.0026555918
fernandópolis,São Paulo,Não,0.0026364694
são vicente,São Paulo,Não,0.0025917385
bady bassitt,São Paulo,Não,0.0025786317
sobral,Ceará,Não,0.0025465982
rolândia,Paraná,Não,0.0024238082
anchieta,Espírito Santo,Não,0.0023589234
caruaru,Pernambuco,Não,0.002274207
volta redonda,Rio de Janeiro,Não,0.0022047164
sertãozinho,São Paulo,Não,0.0022030931
cafelândia,Paraná,Não,0.0022025167
andirá,Paraná,Não,0.0021890732
estância velha,Rio Grande do Sul,Não,0.002174275
vazante,Minas Gerais,Não,0.0021633625
alagoinhas,Bahia,Não,0.0021518767
montenegro,Rio Grande do Sul,Não,0.0021139053
bom retiro do sul,Rio Grande do Sul,Não,0.002101822
valença,Rio de Janeiro,Não,0.0021002926
montes claros,Minas Gerais,Não,0.0020885158
cordeirópolis,São Paulo,Não,0.0020578846
maceió,Alagoas,Não,0.0020340385
serafina corrêa,Rio Grande do Sul,Não,0.001987968
são sebastião do caí,Rio Grande do Sul,Não,0.0019787306
pará de minas,Minas Gerais,Não,0.0019783888
corumbá,Mato Grosso do Sul,Não,0.0019484876
salto,São Paulo,Não,0.0019428984
lindóia,São Paulo,Não,0.0019194796
santa rosa,Rio Grande do Sul,Não,0.0018993013
videira,Santa Catarina,Não,0.0018949294
edéia,Goiás,Não,0.001891313
sumaré,São Paulo,Não,0.0018798574
salto de pirapora,São Paulo,Não,0.0018469125
araucária,Paraná,Não,0.0018415028
cachoeiro de itapemirim,Espírito Santo,Não,0.0018392308
não-me-toque,Rio Grande do Sul,Não,0.0018383687
itabirito,Minas Gerais,Não,0.001819944
manaus,Amazonas,Não,0.0018106945
gaspar,Santa Catarina,Não,0.0018010674
armação dos búzios,Rio de Janeiro,Não,0.0017960294
guarapari,Espírito Santo,Não,0.0017883802
feira de santana,Bahia,Não,0.0017624074
piracicaba,São Paulo,Não,0.0017399207
jaboatão dos guararapes,Pernambuco,Não,0.0017276362
santa cruz do sul,Rio Grande do Sul,Não,0.0017152048
itapetininga,São Paulo,Não,0.0017146008
cerquilho,São Paulo,Não,0.001709713
tijucas,Santa Catarina,Não,0.0017027047
cabo de santo agostinho,Pernambuco,Não,0.0017004237
panambi,Rio Grande do Sul,Não,0.0016991388
mauá,São Paulo,Não,0.0016797923
raposos,Minas Gerais,Não,0.0016724293
telêmaco borba,Paraná,Não,0.0016716302
suzano,São Paulo,Não,0.0016688084
rondonópolis,Mato Grosso,Não,0.0016608268
marialva,Paraná,Não,0.0016563026
assaí,Paraná,Não,0.0016466853
porto real,Rio de Janeiro,Não,0.001642779
porto belo,Santa Catarina,Não,0.0016062135
cruz das almas,Bahia,Não,0.0015883038
são miguel do oeste,Santa Catarina,Não,0.0015745575
arapongas,Paraná,Não,0.0015679372
tanabi,São Paulo,Não,0.0015613001
ivoti,Rio Grande do Sul,Não,0.0015519557
lagoa santa,Minas Gerais,Não,0.0015339814
abreu e lima,Pernambuco,Não,0.0015276538
itumbiara,Goiás,Não,0.0015221064
itapissuma,Pernambuco,Não,0.0015213129
mairinque,São Paulo,Não,0.0015178778
cambuí,Minas Gerais,Não,0.0015111127
juazeiro,Bahia,Não,0.0014994394
tatuí,São Paulo,Não,0.0014852011
antônio prado,Rio Grande do Sul,Não,0.001455991
marabá,Pará,Não,0.0014541438
duque de caxias,Rio de Janeiro,Não,0.0014317347
alegrete,Rio Grande do Sul,Não,0.0014272287
engenheiro coelho,São Paulo,Não,0.0014063168
mairiporã,São Paulo,Não,0.0013766505
guaporé,Rio Grande do Sul,Não,0.0013739092
itaperuna,Rio de Janeiro,Não,0.0013363499
horizontina,Rio Grande do Sul,Não,0.0012857107
araputanga,Mato Grosso,Não,0.0012824978
pato branco,Paraná,Não,0.0012650146
bom jesus dos perdões,São Paulo,Não,0.0012629674
dois irmãos,Rio Grande do Sul,Não,0.0012576154
porto nacional,Tocantins,Não,0.001255369
iracemápolis,São Paulo,Não,0.0012547134
laranjeiras,Sergipe,Não,0.0012446749
guarabira,Paraíba,Não,0.001219529
maranguape,Ceará,Não,0.0012177803
porto feliz,São Paulo,Não,0.0012032648
monte carmelo,Minas Gerais,Não,0.0011773154
são luís,Maranhão,Não,0.0011760987
taboão da serra,São Paulo,Não,0.0011731745
igarassu,Pernambuco,Não,0.0011398103
são ludgero,Santa Catarina,Não,0.0011303078
sapezal,Mato Grosso,Não,0.0010858114
formiga,Minas Gerais,Não,0.0010825281
senador canedo,Goiás,Não,0.0010720994
goiandira,Goiás,Não,0.0010698722
bayeux,Paraíba,Não,0.0010621612
barbacena,Minas Gerais,Não,0.0010599131
iperó,São Paulo,Não,0.001048788
quatis,Rio de Janeiro,Não,0.0010482426
colombo,Paraná,Não,0.0010418167
juatuba,Minas Gerais,Não,0.0010243322
tubarão,Santa Catarina,Não,0.0010151743
almeirim,Pará,Não,0.0010147769
macatuba,São Paulo,Não,0.0010135227
guaxupé,Minas Gerais,Não,0.0010131501
votorantim,São Paulo,Não,0.001006169
jaboticabal,São Paulo,Não,0.0010037204
são marcos,Rio Grande do Sul,Não,0.0010029065
quatro barras,Paraná,Não,0.0010018884
esteio,Rio Grande do Sul,Não,0.0009970132
tucuruí,Pará,Não,0.0009916221
castanhal,Pará,Não,0.0009864118
são roque,São Paulo,Não,0.00097457063
céu azul,Paraná,Não,0.00097437704
itá,Santa Catarina,Não,0.00097161176
presidente bernardes,São Paulo,Não,0.00096366345
arroio do meio,Rio Grande do Sul,Não,0.00095312844
otacílio costa,Santa Catarina,Não,0.0009447608
limoeiro,Pernambuco,Não,0.0009404541
nossa senhora do socorro,Sergipe,Não,0.0009383533
carazinho,Rio Grande do Sul,Não,0.0009354807
caçador,Santa Catarina,Não,0.0009241878
três barras,Santa Catarina,Não,0.00092410465
francisco beltrão,Paraná,Não,0.00092294626
carmo,Rio de Janeiro,Não,0.000917981
itapetinga,Bahia,Não,0.00090899406
estação,Rio Grande do Sul,Não,0.000902632
jaú,São Paulo,Não,0.0008897141
itapema,Santa Catarina,Não,0.00088735076
douradina,Paraná,Não,0.00088431267
palotina,Paraná,Não,0.00088337023
são pedro da aldeia,Rio de Janeiro,Não,0.0008800883
luziânia,Goiás,Não,0.0008792396
paracatu,Minas Gerais,Não,0.00087479263
xanxerê,Santa Catarina,Não,0.000873247
são joão da boa vista,São Paulo,Não,0.0008704698
salvador do sul,Rio Grande do Sul,Não,0.00084230275
pirassununga,São Paulo,Não,0.0008235568
guaraçaí,São Paulo,Não,0.00081891665
teresópolis,Rio de Janeiro,Não,0.0008151349
vassouras,Rio de Janeiro,Não,0.000812537
potirendaba,São Paulo,Não,0.00079741015
itaú de minas,Minas Gerais,Não,0.00079356914
angra dos reis,Rio de Janeiro,Não,0.0007916632
indiaporã,São Paulo,Não,0.00079156924
araguaína,Tocantins,Não,0.0007822281
ilha solteira,São Paulo,Não,0.0007813307
gramado,Rio Grande do Sul,Não,0.0007700246
benevides,Pará,Não,0.0007687609
hortolândia,São Paulo,Não,0.0007669543
são pedro da serra,Rio Grande do Sul,Não,0.0007644344
mococa,São Paulo,Não,0.00076323596
rio dos cedros,Santa Catarina,Não,0.00075592124
vale real,Rio Grande do Sul,Não,0.00075389614
triunfo,Rio Grande do Sul,Não,0.00074791856
monções,São Paulo,Não,0.0007471388
campo novo do parecis,Mato Grosso,Não,0.0007430823
luzerna,Santa Catarina,Não,0.0007367103
pariquera-açu,São Paulo,Não,0.0007333062
santo antônio de pádua,Rio de Janeiro,Não,0.0007328601
barroso,Minas Gerais,Não,0.0007325847
artur nogueira,São Paulo,Não,0.0007226714
paiçandu,Paraná,Não,0.000714952
são leopoldo,Rio Grande do Sul,Não,0.0007072011
faxinal dos guedes,Santa Catarina,Não,0.00070107984
sebastianópolis do sul,São Paulo,Não,0.00069814187
potim,São Paulo,Não,0.00068646314
saltinho,São Paulo,Não,0.0006784558
itagibá,Bahia,Não,0.00067598745
serra,Espírito Santo,Não,0.0006682768
parnaíba,Piauí,Não,0.0006627783
trombudo central,Santa Catarina,Não,0.00066125643
timbó,Santa Catarina,Não,0.00066011964
franca,São Paulo,Não,0.00065838266
lages,Santa Catarina,Não,0.00064717495
braço do norte,Santa Catarina,Não,0.0006466786
jacutinga,Minas Gerais,Não,0.000644455
três coroas,Rio Grande do Sul,Não,0.00064103474
madre de deus,Bahia,Não,0.0006401141
itapevi,São Paulo,Não,0.000633012
álvares machado,São Paulo,Não,0.0006308225
ouroeste,São Paulo,Não,0.00062885205
divinópolis,Minas Gerais,Não,0.0006216641
moji mirim,São Paulo,Não,0.0006187299
pirapozinho,São Paulo,Não,0.00061158475
penápolis,São Paulo,Não,0.0006088989
colatina,Espírito Santo,Não,0.0006082501
santana de parnaíba,São Paulo,Não,0.000606288
castilho,São Paulo,Não,0.0006053094
lindolfo collor,Rio Grande do Sul,Não,0.0005994522
horizonte,Ceará,Não,0.000595604
franco da rocha,São Paulo,Não,0.00058843236
tapira,Minas Gerais,Não,0.00058492273
governador valadares,Minas Gerais,Não,0.0005818634
miracema,Rio de Janeiro,Não,0.0005732043
garça,São Paulo,Não,0.0005625351
pacajus,Ceará,Não,0.0005601432
alto garças,Mato Grosso,Não,0.0005585481
agrolândia,Santa Catarina,Não,0.0005549875
aperibé,Rio de Janeiro,Não,0.0005545946
pompéia,São Paulo,Não,0.0005538748
itaboraí,Rio de Janeiro,Não,0.00055190653
niquelândia,Goiás,Não,0.0005479389
paraíso do tocantins,Tocantins,Não,0.0005431846
regente feijó,São Paulo,Não,0.0005415706
propriá,Sergipe,Não,0.00054143125
paulo afonso,Bahia,Não,0.0005402533
bilac,São Paulo,Não,0.0005326434
crixás,Goiás,Não,0.00052602415
cosmópolis,São Paulo,Não,0.0005247396
nazaré da mata,Pernambuco,Não,0.00052424916
bom jesus do norte,Espírito Santo,Não,0.0005240651
teutônia,Rio Grande do Sul,Não,0.00051967846
auriflama,São Paulo,Não,0.0005167213
mafra,Santa Catarina,Não,0.0005139631
orleans,Santa Catarina,Não,0.00051301304
cabreúva,São Paulo,Não,0.0005103282
dois vizinhos,Paraná,Não,0.00050573103
riachuelo,Sergipe,Não,0.0005031936
portão,Rio Grande do Sul,Não,0.00050230726
fortaleza de minas,Minas Gerais,Não,0.0004981706
primavera do leste,Mato Grosso,Não,0.0004937612
tupandi,Rio Grande do Sul,Não,0.00049142924
paço do lumiar,Maranhão,Não,0.00048306797
arcoverde,Pernambuco,Não,0.00048264657
osvaldo cruz,São Paulo,Não,0.00047316603
santa isabel do pará,Pará,Não,0.00047003294
palmares,Pernambuco,Não,0.000469262
cachoeirinha,Rio Grande do Sul,Não,0.0004666143
joão neiva,Espírito Santo,Não,0.00046571242
cajamar,São Paulo,Não,0.0004546079
